,mean_IC,mean_abs_IC,IC_IR,frac_pos
atr_norm_14,0.006752303336699547,0.19842361454841154,0.02697751961595005,0.5184929139301763
vol_63,0.004806680638700948,0.19601570643707114,0.01956422468775943,0.5136536467334947
xs_z_vol_63,0.004806680638700948,0.19601570643707114,0.01956422468775943,0.5136536467334947
vol_21,0.003680096153500362,0.17830494978389322,0.01628225323640639,0.5077773937089527
xs_z_vol_21,0.003680096153500362,0.17830494978389322,0.01628225323640639,0.5077773937089527
mom_252,0.008625606416825705,0.177930331682994,0.03843678324915028,0.5319737296923609
ma_ratio_200,0.0015312765687836695,0.17047899961515667,0.006993481202688472,0.5312824058071206
mom_126,0.004195281529824212,0.16791935482175765,0.019389598354738694,0.5523677843069478
xs_rank_mom_126,0.004195281529824212,0.16791935482175765,0.019389598354738694,0.5523677843069478
price_zscore_252,0.0016029795533341357,0.16579323593419953,0.007565513040549779,0.5178015900449361
vol_10,0.005574909194941818,0.1613523858260468,0.0267924431906249,0.5198755617006567
ma_ratio_100,-0.003967902750846116,0.15368084585777878,-0.019884350901505397,0.5150362945039751
rsi_28,-0.00862769336690269,0.14694912359257606,-0.04553961150944932,0.491185620463187
mkt_dm_mom_63,-0.003856060179944096,0.14674342729495096,-0.020096157949640432,0.5184929139301763
mom_63,-0.003856060179944096,0.14674342729495096,-0.020096157949640432,0.5184929139301763
xs_rank_mom_63,-0.003856060179944096,0.14674342729495096,-0.020096157949640432,0.5184929139301763
ma_ratio_50,-0.011552567189995708,0.1430772568463252,-0.062189645381986874,0.48219840995506397
macd_norm,-0.011778599493696872,0.14256327480636088,-0.06371693407237669,0.4790874524714829
vol_5,0.00746618084887688,0.1418892164349264,0.04067017513578174,0.5250604908399585
bb_width,-0.0025130310182999048,0.13726737147649762,-0.014037007640063595,0.5019011406844106
hl_range_norm,0.005839002039126627,0.1369996076993231,0.033360331082213465,0.5174559281023159
price_zscore_63,-0.010271100355710083,0.13647910727924414,-0.0581218740991314,0.49464223988938816
rsi_14,-0.010668687152447441,0.13590533399628607,-0.06015607528238452,0.4915312824058071
mkt_dm_mom_21,-0.011619088559745206,0.13550156817437642,-0.06537679362344992,0.4694089180781196
xs_rank_mom_21,-0.011619088559745206,0.13550156817437642,-0.06537679362344992,0.4694089180781196
mom_21,-0.011619088559745206,0.13550156817437642,-0.06537679362344992,0.4694089180781196
ma_ratio_20,-0.013051753508386239,0.13410301071334105,-0.07359073902906865,0.4694089180781196
mom_10,-0.010395480914684167,0.13237820344038828,-0.05956560360755287,0.47632215693052193
xs_rank_mom_10,-0.010395480914684167,0.13237820344038828,-0.05956560360755287,0.47632215693052193
ma_ratio_10,-0.013614581346558073,0.13128630409890857,-0.07820494629770375,0.4694089180781196
xs_rank_mom_5,-0.012851541814226338,0.1310126510898579,-0.07395382520149059,0.4669892844797788
mkt_dm_mom_5,-0.012851541814226338,0.1310126510898579,-0.07395382520149059,0.4669892844797788
mom_5,-0.012851541814226338,0.1310126510898579,-0.07395382520149059,0.4669892844797788
macd_hist_norm,-0.007717135183498953,0.1302765032801718,-0.04457628831724847,0.4756308330452817
ma_ratio_5,-0.012115668270339112,0.1283867736140155,-0.07118328636904687,0.4777048047010024
bb_position,-0.011536849338119302,0.1229858978425477,-0.07151459947319604,0.47493950916004146
obv_slope,-0.007683038388146771,0.09961013088836974,-0.05918793491180045,0.47839612858624264
ret_autocorr_5,0.0006402167715265642,0.0850910019256463,0.0056934021380328345,0.4994815070860698
vol_ratio_21_63,-0.0012840469619219983,0.08197606112188019,-0.01197275215994845,0.4963705496024888
vol_ratio_5_21,0.004900204689049031,0.08182120799340672,0.04618421484958227,0.5129623228482544
vol_ratio_10_63,0.000424697075847065,0.08124046224003019,0.003967863041221483,0.4828897338403042
ret_skew_21,-0.0010112499869970105,0.07240927707987133,-0.010486319315445096,0.4991358451434497
vol_ratio_v_slow,-0.004540613999834847,0.06145094772969482,-0.05881135348081211,0.47459384721742137
ret_kurt_21,0.0023408722910333865,0.0614467696126283,0.02948842876731585,0.5167646042170757
vol_ratio_v,-0.0014024633381834188,0.05647127596698112,-0.019558602644824626,0.4929139301762876
