date,regime,n_stocks,leverage,turnover,tc_cost,cash_weight,top_holdings
2014-03-06,0,30,1.0,1.0,0.0005,0.0,"[('EPAM', 0.33333333333333337), ('XYL', 0.33333333333333337), ('EBAY', 0.33333333333333337), ('FANG', 0.0), ('ULTA', 0.0), ('AAP', 0.0), ('LDOS', 0.0), ('BBY', 0.0), ('AKAM', 0.0), ('VMC', 0.0)]"
2014-03-13,0,30,1.0,1.4666666666666666,0.0007333333333333333,0.0,"[('LDOS', 1.0), ('BA', 0.0), ('TGT', 0.0), ('VZ', 0.0), ('TSLA', 0.0), ('ISRG', 0.0), ('GNRC', 0.0), ('ADBE', 0.0), ('PKG', 0.0), ('PM', 0.0)]"
2014-03-20,0,30,1.0,1.4,0.0007,0.0,"[('CRM', 0.03333333333333333), ('CHRW', 0.03333333333333333), ('AAP', 0.03333333333333333), ('META', 0.03333333333333333), ('ENPH', 0.03333333333333333), ('TGT', 0.03333333333333333), ('MU', 0.03333333333333333), ('VRSN', 0.03333333333333333), ('CMCSA', 0.03333333333333333), ('IDXX', 0.03333333333333333)]"
2014-03-27,0,30,1.0,1.3333333333333333,0.0006666666666666666,0.0,"[('SBNY', 0.19999999999999998), ('AAP', 0.19999999999999998), ('ABMD', 0.19999999999999998), ('GOOG', 0.19999999999999998), ('GOOGL', 0.19999999999999998), ('GNRC', 0.0), ('TMO', 0.0), ('ZBRA', 0.0), ('TGT', 0.0), ('VTRS', 0.0)]"
2014-04-03,0,30,1.0,1.5333333333333334,0.0007666666666666667,0.0,"[('LDOS', 1.0), ('REGN', 0.0), ('AVGO', 0.0), ('CTXS', 0.0), ('NKE', 0.0), ('MCK', 0.0), ('DD', 0.0), ('ABMD', 0.0), ('JNPR', 0.0), ('PFG', 0.0)]"
2014-04-10,1,30,0.7,1.6666666666666667,0.0008333333333333334,0.29999999999999993,"[('ILMN', 0.09693566065327822), ('AAL', 0.05870291298725694), ('AAP', 0.05237426826559523), ('DXCM', 0.051110608071481815), ('VLO', 0.04346401794065722), ('UAL', 0.04246769084243296), ('TYL', 0.03923455826285361), ('K', 0.0366019126116787), ('SBNY', 0.03616398326785149), ('INCY', 0.03511407241559406)]"
2014-04-17,1,30,0.7,1.3333333333333333,0.0006666666666666666,0.30000000000000027,"[('NFLX', 0.06979740811099565), ('ZBRA', 0.060837072988206065), ('SIVB', 0.046683683307307065), ('GNRC', 0.04649849706432517), ('DXCM', 0.044129939809468964), ('GOOGL', 0.04168750350656516), ('TTWO', 0.039630645169614585), ('AZO', 0.03446512981061056), ('RCL', 0.03424735642362011), ('TYL', 0.03284434833297446)]"
2014-04-25,1,30,0.7,1.2666666666666666,0.0006333333333333333,0.30000000000000004,"[('AMD', 0.07239571613338812), ('ZBRA', 0.069759256650884), ('NVR', 0.05675023439956555), ('EXPE', 0.049167783967892426), ('TJX', 0.041467162248482986), ('POOL', 0.04080639646417296), ('SIVB', 0.04052111341900554), ('FITB', 0.04051415499205391), ('EA', 0.038713233494948575), ('DXC', 0.03619243862164285)]"
2014-05-02,1,30,0.7,1.6,0.0008,0.29999999999999993,"[('SWKS', 0.05729181737318398), ('J', 0.05619109364220809), ('BAC', 0.05609879195508204), ('CAH', 0.050147067624484766), ('PNR', 0.04651308799623537), ('ROK', 0.046063972930281284), ('ADI', 0.04313902475608309), ('CRL', 0.04082207894464488), ('PCAR', 0.03761253457540459), ('ROP', 0.03581064533628805)]"
2014-05-09,0,30,1.0,1.6,0.0008,0.0,"[('TSN', 0.09406075959867514), ('GNRC', 0.06278182394362346), ('TRMB', 0.04960600312289875), ('CAH', 0.04956415402597882), ('MRK', 0.04732392936748922), ('MGM', 0.044217971320122076), ('AMZN', 0.03656179365395816), ('TECH', 0.034698615089571117), ('WDC', 0.03398664577302454), ('PCAR', 0.032876778391637634)]"
2014-05-16,0,25,1.0,2.12,0.0010600000000000002,0.0,"[('TSN', 0.10551850359306277), ('TSLA', 0.08629162118157062), ('MTB', 0.04421291454528696), ('WHR', 0.044005824569890405), ('FMC', 0.04393191686035772), ('BRK-B', 0.04218623250623449), ('FRC', 0.041851025225916744), ('UNH', 0.04133911949744909), ('HUM', 0.039296781281087205), ('CMA', 0.035674683610544496)]"
2014-05-23,0,30,1.0,1.7666666666666666,0.0008833333333333333,0.0,"[('MOH', 0.15000000000000002), ('EW', 0.15000000000000002), ('TJX', 0.15000000000000002), ('SWKS', 0.15000000000000002), ('LRCX', 0.15000000000000002), ('RSG', 0.15000000000000002), ('NOC', 0.09999999999999998), ('CB', 0.0), ('EA', 0.0), ('GM', 0.0)]"
2014-06-02,0,30,1.0,1.7333333333333334,0.0008666666666666667,0.0,"[('DG', 0.03333333333333333), ('NFLX', 0.03333333333333333), ('ANSS', 0.03333333333333333), ('ALL', 0.03333333333333333), ('TPR', 0.03333333333333333), ('ENPH', 0.03333333333333333), ('UPS', 0.03333333333333333), ('TRV', 0.03333333333333333), ('NDSN', 0.03333333333333333), ('CB', 0.03333333333333333)]"
2014-06-09,0,30,1.0,1.3333333333333333,0.0006666666666666666,0.0,"[('PEP', 0.03333333333333333), ('ENPH', 0.03333333333333333), ('UPS', 0.03333333333333333), ('MO', 0.03333333333333333), ('GILD', 0.03333333333333333), ('TPR', 0.03333333333333333), ('ALL', 0.03333333333333333), ('TTWO', 0.03333333333333333), ('RSG', 0.03333333333333333), ('WEC', 0.03333333333333333)]"
2014-06-16,0,30,1.0,1.5333333333333334,0.0007666666666666667,0.0,"[('INTC', 0.03333333333333333), ('GILD', 0.03333333333333333), ('ENPH', 0.03333333333333333), ('AAL', 0.03333333333333333), ('TECH', 0.03333333333333333), ('EPAM', 0.03333333333333333), ('GIS', 0.03333333333333333), ('HAL', 0.03333333333333333), ('ULTA', 0.03333333333333333), ('DAL', 0.03333333333333333)]"
2014-06-23,0,30,1.0,1.6,0.0008,0.0,"[('ULTA', 0.03333333333333333), ('TSCO', 0.03333333333333333), ('TPR', 0.03333333333333333), ('DLTR', 0.03333333333333333), ('ENPH', 0.03333333333333333), ('FANG', 0.03333333333333333), ('EBAY', 0.03333333333333333), ('WM', 0.03333333333333333), ('CAG', 0.03333333333333333), ('NTAP', 0.03333333333333333)]"
2014-06-30,0,29,1.0,1.3448275862068966,0.0006724137931034483,2.220446049250313e-16,"[('BIO', 0.03448275862068966), ('SLB', 0.03448275862068966), ('FANG', 0.03448275862068966), ('HII', 0.03448275862068966), ('VLO', 0.03448275862068966), ('NTAP', 0.03448275862068966), ('HAL', 0.03448275862068966), ('KMX', 0.03448275862068966), ('OKE', 0.03448275862068966), ('LDOS', 0.03448275862068966)]"
2014-07-08,0,30,1.0,1.7666666666666666,0.0008833333333333333,0.0,"[('DAL', 0.03333333333333333), ('AAL', 0.03333333333333333), ('KMX', 0.03333333333333333), ('ROST', 0.03333333333333333), ('EXC', 0.03333333333333333), ('MTCH', 0.03333333333333333), ('OXY', 0.03333333333333333), ('J', 0.03333333333333333), ('META', 0.03333333333333333), ('GRMN', 0.03333333333333333)]"
2014-07-15,0,30,1.0,1.6,0.0008,0.0,"[('IRM', 0.03333333333333333), ('DAL', 0.03333333333333333), ('LDOS', 0.03333333333333333), ('PVH', 0.03333333333333333), ('GRMN', 0.03333333333333333), ('ES', 0.03333333333333333), ('ROST', 0.03333333333333333), ('PENN', 0.03333333333333333), ('CMG', 0.03333333333333333), ('LHX', 0.03333333333333333)]"
2014-07-22,0,29,1.0,1.5517241379310345,0.0007758620689655172,0.0,"[('FRC', 0.5), ('SWKS', 0.5), ('IRM', 0.0), ('DAL', 0.0), ('TJX', 0.0), ('ESS', 0.0), ('KMX', 0.0), ('ZBH', 0.0), ('PVH', 0.0), ('CMCSA', 0.0)]"
2014-07-29,0,12,1.0,3.0833333333333335,0.0015416666666666669,0.0,"[('FANG', 0.13674252456459107), ('FRC', 0.12371749581403016), ('QCOM', 0.09570158682518379), ('EA', 0.09489714396665405), ('CMG', 0.09228144950237986), ('FLT', 0.07883112460349545), ('AON', 0.06853861581026423), ('SWKS', 0.06776825772327559), ('YUM', 0.06371701059436069), ('EOG', 0.0595887410962402)]"
2014-08-05,1,30,0.7,1.2,0.0006,0.30000000000000016,"[('AON', 0.05243938515088697), ('HUM', 0.04789340003538822), ('K', 0.0473191852324517), ('TAP', 0.046638476928232184), ('QCOM', 0.04650810059455939), ('UPS', 0.044654366883001215), ('AOS', 0.042379908718050606), ('PNR', 0.04221886033551825), ('ISRG', 0.04167925403799545), ('CE', 0.04082162056549937)]"
2014-08-12,0,30,1.0,1.6666666666666667,0.0008333333333333334,0.0,"[('WBA', 0.0802698325801169), ('ZBRA', 0.06342913667149798), ('GRMN', 0.05018258312845518), ('UPS', 0.04600502267064727), ('CL', 0.04201604832232079), ('COP', 0.0418642553419805), ('HUM', 0.038594354672975464), ('DXCM', 0.03800612952567095), ('CLX', 0.03638276105441817), ('NRG', 0.035104515765051726)]"
2014-08-19,0,20,1.0,2.1,0.0010500000000000002,0.0,"[('WBA', 0.11212857850649846), ('CTSH', 0.10975947966600565), ('ZBRA', 0.07619363497325862), ('DG', 0.06086357275211215), ('MSI', 0.05012052357077544), ('PH', 0.048514933879804864), ('COP', 0.04830248819418311), ('VTRS', 0.04649540027910384), ('DXC', 0.04403114838903852), ('NRG', 0.040736338474773724)]"
2014-08-26,0,29,1.0,1.6896551724137931,0.0008448275862068966,2.220446049250313e-16,"[('MNST', 0.03448275862068966), ('GILD', 0.03448275862068966), ('ECL', 0.03448275862068966), ('PKI', 0.03448275862068966), ('AWK', 0.03448275862068966), ('RSG', 0.03448275862068966), ('FISV', 0.03448275862068966), ('TYL', 0.03448275862068966), ('CB', 0.03448275862068966), ('SNPS', 0.03448275862068966)]"
2014-09-03,0,30,1.0,1.3,0.0006500000000000001,0.0,"[('MSI', 0.03333333333333333), ('GILD', 0.03333333333333333), ('ECL', 0.03333333333333333), ('ALL', 0.03333333333333333), ('UPS', 0.03333333333333333), ('UNP', 0.03333333333333333), ('NLSN', 0.03333333333333333), ('HAL', 0.03333333333333333), ('RTX', 0.03333333333333333), ('ALGN', 0.03333333333333333)]"
2014-09-10,0,29,1.0,1.6206896551724137,0.0008103448275862069,2.220446049250313e-16,"[('WMB', 0.03448275862068966), ('PARA', 0.03448275862068966), ('KMI', 0.03448275862068966), ('MU', 0.03448275862068966), ('PNR', 0.03448275862068966), ('WM', 0.03448275862068966), ('DXCM', 0.03448275862068966), ('ZBRA', 0.03448275862068966), ('EVRG', 0.03448275862068966), ('STZ', 0.03448275862068966)]"
2014-09-17,0,30,1.0,1.5666666666666667,0.0007833333333333334,0.0,"[('ALK', 0.03333333333333333), ('MU', 0.03333333333333333), ('CTSH', 0.03333333333333333), ('DG', 0.03333333333333333), ('LVS', 0.03333333333333333), ('ALGN', 0.03333333333333333), ('MNST', 0.03333333333333333), ('VRTX', 0.03333333333333333), ('ETN', 0.03333333333333333), ('CMG', 0.03333333333333333)]"
2014-09-24,0,30,1.0,1.5333333333333334,0.0007666666666666667,0.0,"[('DLR', 0.03333333333333333), ('FRT', 0.03333333333333333), ('ATVI', 0.03333333333333333), ('FDS', 0.03333333333333333), ('VTR', 0.03333333333333333), ('FAST', 0.03333333333333333), ('AMD', 0.03333333333333333), ('DRE', 0.03333333333333333), ('REG', 0.03333333333333333), ('WBD', 0.03333333333333333)]"
2014-10-01,1,30,0.7,1.1333333333333333,0.0005666666666666667,0.30000000000000016,"[('TEL', 0.21428571428571433), ('GIS', 0.2040915891757333), ('UHS', 0.19169885599261968), ('AMD', 0.1360630108332636), ('F', 0.1117827187872451), ('LYB', 0.10162117285619002), ('DOV', 0.04045693806923407), ('CTSH', 0.0), ('FMC', 0.0), ('CPRT', 0.0)]"
2014-10-08,1,30,0.7,1.7333333333333334,0.0008666666666666667,0.30000000000000027,"[('SWKS', 0.07665737940259178), ('HCA', 0.049657030428697915), ('CTXS', 0.04095005246752745), ('GILD', 0.040858074230808304), ('DD', 0.040268489227726516), ('MTCH', 0.038937430567808), ('AAPL', 0.03873389417685118), ('MLM', 0.037667032928127404), ('LUV', 0.03648280849126112), ('SNA', 0.03561661651074299)]"
2014-10-15,1,30,0.7,1.7333333333333334,0.0008666666666666667,0.30000000000000004,"[('ENPH', 0.058533075778597315), ('URI', 0.049778795267617845), ('GILD', 0.0490079674136729), ('LYB', 0.04654538299047959), ('ILMN', 0.04324470637977538), ('APH', 0.039292420661027276), ('EXPE', 0.03730308288994677), ('LUV', 0.03706963048163263), ('NDAQ', 0.03623643764811015), ('ODFL', 0.03582068973066111)]"
2014-10-22,1,30,0.7,1.6,0.0008,0.29999999999999993,"[('NFLX', 0.0772884654624648), ('CMG', 0.047730175482911474), ('GILD', 0.04725467947810308), ('LUV', 0.0370455401190983), ('ZTS', 0.03581690021153026), ('IBM', 0.034751449936288044), ('FITB', 0.034221744509513465), ('NDAQ', 0.03398013245768108), ('FISV', 0.033886501716103926), ('MDT', 0.033704187016478544)]"
2014-10-29,1,30,0.7,1.6666666666666667,0.0008333333333333334,0.30000000000000004,"[('ENPH', 0.07315222463156709), ('NOW', 0.047271711472786), ('ILMN', 0.04566564070997397), ('BAC', 0.041540968196570466), ('MRK', 0.038321069594536704), ('DISH', 0.03788581748810539), ('REGN', 0.03758261897137638), ('ADM', 0.03734670185107941), ('IP', 0.03586371231131324), ('EXPE', 0.035614740687065174)]"
2014-11-05,1,30,0.7,1.6666666666666667,0.0008333333333333334,0.29999999999999993,"[('ABMD', 0.06409184082489487), ('MNST', 0.05809583578555656), ('V', 0.053565245627830396), ('TSCO', 0.05033590031941922), ('BMY', 0.043720508326852064), ('AMGN', 0.040509967894888955), ('XRAY', 0.03702837246306088), ('ABC', 0.03697359503253237), ('INCY', 0.03514796528173035), ('CMG', 0.034561067172657924)]"
2014-11-12,0,30,1.0,1.8,0.0009000000000000001,0.0,"[('ABMD', 0.0863046732319029), ('TTWO', 0.05493242812324975), ('HSIC', 0.05335079160105848), ('ENPH', 0.05098611231673894), ('V', 0.049477408097536715), ('MNST', 0.0492989791866746), ('META', 0.048482082781081244), ('CCI', 0.03960066961058191), ('MA', 0.03657776612815829), ('LH', 0.03432497354279137)]"
2014-11-19,0,30,1.0,1.7333333333333334,0.0008666666666666667,2.220446049250313e-16,"[('DXCM', 0.25), ('HSIC', 0.25), ('WMT', 0.25), ('VRTX', 0.25), ('BKR', 0.0), ('GILD', 0.0), ('AMD', 0.0), ('GOOG', 0.0), ('ENPH', 0.0), ('PKG', 0.0)]"
2014-11-26,0,30,1.0,1.6,0.0008,0.0,"[('ENPH', 0.03333333333333333), ('BKR', 0.03333333333333333), ('NWS', 0.03333333333333333), ('NLSN', 0.03333333333333333), ('OXY', 0.03333333333333333), ('LOW', 0.03333333333333333), ('TGT', 0.03333333333333333), ('AVGO', 0.03333333333333333), ('PEP', 0.03333333333333333), ('WYNN', 0.03333333333333333)]"
2014-12-04,0,30,1.0,1.6,0.0008,0.0,"[('ENPH', 0.03333333333333333), ('GOOGL', 0.03333333333333333), ('APA', 0.03333333333333333), ('GOOG', 0.03333333333333333), ('META', 0.03333333333333333), ('FANG', 0.03333333333333333), ('CTRA', 0.03333333333333333), ('LYB', 0.03333333333333333), ('FCX', 0.03333333333333333), ('MNST', 0.03333333333333333)]"
2014-12-11,0,30,1.0,1.5333333333333334,0.0007666666666666667,0.0,"[('WMB', 1.0), ('NFLX', 0.0), ('NKE', 0.0), ('AMD', 0.0), ('TRMB', 0.0), ('HES', 0.0), ('IRM', 0.0), ('MTCH', 0.0), ('CTRA', 0.0), ('DVN', 0.0)]"
2014-12-18,1,30,0.7,1.7333333333333334,0.0008666666666666667,0.2999999999999998,"[('VRTX', 0.11989591788729165), ('PSA', 0.04543821798007541), ('D', 0.03842194862341288), ('ADBE', 0.03821619242006728), ('NI', 0.03774326342963139), ('BMY', 0.037199891717170946), ('GPN', 0.035701982414970995), ('DPZ', 0.035060795028685435), ('PEP', 0.0337192034551284), ('ACN', 0.03332571736113811)]"
2014-12-26,1,30,0.7,1.4,0.0007,0.29999999999999993,"[('REGN', 0.0632315239038603), ('ORCL', 0.053731396827993466), ('GILD', 0.04512315450118686), ('TSN', 0.04194592036540749), ('ACN', 0.038608945801312106), ('PEAK', 0.03853187127475198), ('IT', 0.03568090115032882), ('DLR', 0.03554405703469698), ('AJG', 0.03500600632967249), ('CPT', 0.03397967051869764)]"
2015-01-05,1,20,0.7,2.2,0.0011,0.30000000000000004,"[('ORCL', 0.0901773998026858), ('UAL', 0.08657455207108987), ('HAS', 0.054273311784163905), ('XRAY', 0.05347431540403415), ('PAYX', 0.05320518173098187), ('PSA', 0.05250894210882432), ('MKC', 0.045862692190181104), ('PLD', 0.04529350518181085), ('MNST', 0.04506901846909368), ('KMB', 0.04487394516880631)]"
2015-01-12,1,30,0.7,1.5333333333333334,0.0007666666666666667,0.30000000000000004,"[('PCAR', 0.043819713283520426), ('ATO', 0.04363842367936905), ('RJF', 0.04273725933387128), ('INTU', 0.041994856706502826), ('GPC', 0.0404458113409555), ('WAB', 0.04041038787025578), ('LUV', 0.0401343289014929), ('BK', 0.03938470293004919), ('ORLY', 0.039103762966442426), ('CSX', 0.03857756438617108)]"
2015-01-20,1,30,0.7,1.4666666666666666,0.0007333333333333333,0.30000000000000016,"[('RCL', 0.051435153222995994), ('BBY', 0.05129832118090796), ('MAR', 0.04335670858415977), ('LUV', 0.04216301054877097), ('GPC', 0.04147873581769001), ('BBWI', 0.040878658510375816), ('ABMD', 0.04055469067575899), ('AMGN', 0.040052224811067426), ('XRAY', 0.03992860657594742), ('EXPE', 0.039231483114609896)]"
2015-01-27,1,30,0.7,1.5333333333333334,0.0007666666666666667,0.30000000000000004,"[('SEE', 0.07324320541657998), ('FFIV', 0.06384365303503212), ('KLAC', 0.05829911113982635), ('EW', 0.05245125755050932), ('AMD', 0.05024872602886354), ('KMB', 0.04944474097128534), ('STT', 0.041025504674182374), ('MHK', 0.036115276852492814), ('BK', 0.03402657371456791), ('GPC', 0.03397117501802545)]"
2015-02-03,1,30,0.7,1.8,0.0009000000000000001,0.30000000000000004,"[('ABMD', 0.06860684415797397), ('BA', 0.05413433973575655), ('SEE', 0.05406174682634897), ('CL', 0.04965985499807979), ('EA', 0.04876517054972204), ('AAL', 0.04711555273677706), ('PHM', 0.04321088155205817), ('ALK', 0.04280776757153462), ('ALGN', 0.04224528947522125), ('ODFL', 0.04016319156823548)]"
